,Date,Timestamp,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3,Friend3
,,,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi,SoFi
,,,op_bnb,bsc,Total,op_bnb,op_bnb,bsc,Total,Total,op_bnb,op_bnb,bsc,Total,Total
,,,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,WBNB,BNB,BNB,BNB,WBNB,WBNB,BNB,BNB,BNB,WBNB
,27/09/2023,1695772800,,12990.34498125,12990.34498125,,,12990.34498125,12990.34498125,,,,60.745125,60.745125,
,28/09/2023,1695859200,,12163.9463775,12163.9463775,,,12163.9463775,12163.9463775,,,,57.317625,57.317625,
,29/09/2023,1695945600,,12369.255022500001,12369.255022500001,,,12369.255022500001,12369.255022500001,,,,57.44325,57.44325,
,30/09/2023,1696032000,,12670.852687499999,12670.852687499999,,,12670.852687499999,12670.852687499999,,,,58.86575,58.86575,
,01/10/2023,1696118400,,12357.91775875,12357.91775875,,,12357.91775875,12357.91775875,,,,57.593875,57.593875,
,02/10/2023,1696204800,,12393.919684999999,12393.919684999999,,,12393.919684999999,12393.919684999999,,,,56.9495,56.9495,
,03/10/2023,1696291200,,11506.59019125,11506.59019125,,,11506.59019125,11506.59019125,,,,53.561375,53.561375,
,04/10/2023,1696377600,,10901.548953750002,10901.548953750002,,,10901.548953750002,10901.548953750002,,,,51.415125,51.415125,
,05/10/2023,1696464000,,10896.426433749999,10896.426433749999,,,10896.426433749999,10896.426433749999,,,,51.140125,51.140125,
,06/10/2023,1696550400,,11672.377199999999,11672.377199999999,,,11672.377199999999,11672.377199999999,,,,55.2669375,55.2669375,
,07/10/2023,1696636800,,12562.5818175,12562.5818175,,,12562.5818175,12562.5818175,,,,58.7805625,58.7805625,
,08/10/2023,1696723200,,13288.92454625,13288.92454625,,,13288.92454625,13288.92454625,,,,62.603875,62.603875,
,09/10/2023,1696809600,,13963.83942650321,13963.83942650321,,,13963.83942650321,13963.83942650321,,,,66.1291884187498,66.1291884187498,
,10/10/2023,1696896000,,13977.72189392227,13977.72189392227,,,13977.72189392227,13977.72189392227,,,,67.7510634187498,67.7510634187498,
,11/10/2023,1696982400,,13740.461891393956,13740.461891393956,,,13740.461891393956,13740.461891393956,,,,65.9584384187498,65.9584384187498,
,12/10/2023,1697068800,,15722.443289041958,15722.443289041958,,,15722.443289041958,15722.443289041958,,,,76.4115634187498,76.4115634187498,
,13/10/2023,1697155200,,17069.599201670582,17069.599201670582,,,17069.599201670582,17069.599201670582,,,,82.9023759187498,82.9023759187498,
,14/10/2023,1697241600,,18471.807339409457,18471.807339409457,,,18471.807339409457,18471.807339409457,,,,89.5993759187498,89.5993759187498,
,15/10/2023,1697328000,,19156.964613332086,19156.964613332086,,,19156.964613332086,19156.964613332086,,,,92.7159259187498,92.7159259187498,
,16/10/2023,1697414400,,18573.340614233395,18573.340614233395,,,18573.340614233395,18573.340614233395,,,,88.4234259187498,88.4234259187498,
,17/10/2023,1697500800,,18924.52773225558,18924.52773225558,,,18924.52773225558,18924.52773225558,,,,88.1440509187498,88.1440509187498,
,18/10/2023,1697587200,,21553.365969732895,21553.365969732895,,,21553.365969732895,21553.365969732895,,,,101.9505509187498,101.9505509187498,
,19/10/2023,1697673600,,29790.16097818915,29790.16097818915,,,29790.16097818915,29790.16097818915,,,,141.5814884187498,141.5814884187498,
,20/10/2023,1697760000,,29610.98995403996,29610.98995403996,,,29610.98995403996,29610.98995403996,,,,140.2035509187498,140.2035509187498,
,21/10/2023,1697846400,,32951.021458614894,32951.021458614894,,,32951.021458614894,32951.021458614894,,,,155.1585509187498,155.1585509187498,
,22/10/2023,1697932800,,34968.958504200455,34968.958504200455,,,34968.958504200455,34968.958504200455,,,,162.9191134187498,162.9191134187498,
,23/10/2023,1698019200,,35723.41845533727,35723.41845533727,,,35723.41845533727,35723.41845533727,,,,164.2380509187498,164.2380509187498,
,24/10/2023,1698105600,,38183.737537690584,38183.737537690584,,,38183.737537690584,38183.737537690584,,,,164.9405509187498,164.9405509187498,
,25/10/2023,1698192000,,37712.83294009733,37712.83294009733,,,37712.83294009733,37712.83294009733,,,,167.5083634187498,167.5083634187498,
,26/10/2023,1698278400,,38025.49411867908,38025.49411867908,,,38025.49411867908,38025.49411867908,,,,170.6863009187498,170.6863009187498,
,27/10/2023,1698364800,,39617.492924791266,39617.492924791266,,,39617.492924791266,39617.492924791266,,,,177.9521759187498,177.9521759187498,
,28/10/2023,1698451200,,40924.36540338408,40924.36540338408,,,40924.36540338408,40924.36540338408,,,,181.7406759187498,181.7406759187498,
,29/10/2023,1698537600,,40135.78817222402,40135.78817222402,,,40135.78817222402,40135.78817222402,,,,177.9463009187498,177.9463009187498,
,30/10/2023,1698624000,,39591.18654911133,39591.18654911133,,,39591.18654911133,39591.18654911133,,,,174.3644259187498,174.3644259187498,
,31/10/2023,1698710400,,35753.29178552377,35753.29178552377,,,35753.29178552377,35753.29178552377,,,,155.2938009187498,155.2938009187498,
,01/11/2023,1698796800,,37136.66011448658,37136.66011448658,,,37136.66011448658,37136.66011448658,,,,164.0456759187498,164.0456759187498,
,02/11/2023,1698883200,,37135.651906789266,37135.651906789266,,,37135.651906789266,37135.651906789266,,,,162.8256759187498,162.8256759187498,
,03/11/2023,1698969600,,36485.464326029076,36485.464326029076,,,36485.464326029076,36485.464326029076,,,,158.0963009187498,158.0963009187498,
,04/11/2023,1699056000,,36517.99416543714,36517.99416543714,,,35690.02511515627,35690.02511515627,,,,155.2888009187498,155.2888009187498,
,05/11/2023,1699142400,,37762.843303198635,37762.843303198635,,,36649.182498484515,36649.182498484515,,,,154.6444259187498,154.6444259187498,
,06/11/2023,1699228800,,37664.550884728145,37664.550884728145,,,37763.96467305696,37763.96467305696,,,,154.1638009187498,154.1638009187498,
,07/11/2023,1699315200,2162.78175,38972.98363753557,41135.765387535575,2162.78175,,38972.98363753557,38972.98363753557,2162.78175,8.557,,153.9825509187498,153.9825509187498,8.557
,08/11/2023,1699401600,2237.8671,37666.19957304726,39904.066673047266,2237.8671,,37666.19957304726,37666.19957304726,2237.8671,9.09,,152.9219259187498,152.9219259187498,9.09
,09/11/2023,1699488000,2446.92058,37724.96269072907,40171.88327072907,2446.92058,,37724.96269072907,37724.96269072907,2446.92058,9.917,,152.8688009187498,152.8688009187498,9.917
,10/11/2023,1699574400,3980.0726400000003,38612.85666049882,42592.92930049882,3980.0726400000003,,38612.85666049882,38612.85666049882,3980.0726400000003,15.734,,152.5838009187498,152.5838009187498,15.734
,11/11/2023,1699660800,5194.56105,38142.1122387532,43336.6732887532,5194.56105,,38142.1122387532,38142.1122387532,5194.56105,20.665,,151.8638009187498,151.8638009187498,20.665
,12/11/2023,1699747200,4594.12656,38135.168387685015,42729.29494768501,4594.12656,,38135.168387685015,38135.168387685015,4594.12656,18.264,,151.5525509187498,151.5525509187498,18.264
,13/11/2023,1699833600,5619.04344,37365.67592354676,42984.71936354676,5619.04344,,37365.67592354676,37365.67592354676,5619.04344,22.728,,150.8688009187498,150.8688009187498,22.728
,14/11/2023,1699920000,5490.95976,36185.91940239888,41676.87916239888,5490.95976,,36185.91940239888,36185.91940239888,5490.95976,22.968,,150.8438009187498,150.8438009187498,22.968
,15/11/2023,1700006400,5957.50268,36644.00233537708,42601.50501537708,5957.50268,,36644.00233537708,36644.00233537708,5957.50268,24.394,,150.0450509187498,150.0450509187498,24.394
,16/11/2023,1700092800,6451.09057,38027.53797804089,44478.62854804089,6451.09057,,38027.53797804089,38027.53797804089,6451.09057,25.387,,149.9213009187498,149.9213009187498,25.387
,17/11/2023,1700179200,6208.80459,36641.52015268945,42850.32474268945,6208.80459,,36641.52015268945,36641.52015268945,6208.80459,25.397,,149.8263009187498,149.8263009187498,25.397
,18/11/2023,1700265600,6388.533600000001,36408.34147903714,42796.87507903714,6388.533600000001,,36408.34147903714,36408.34147903714,6388.533600000001,26.16,,149.3063009187498,149.3063009187498,26.16
,19/11/2023,1700352000,6357.785,36278.16535473589,42635.95035473589,6357.785,,36278.16535473589,36278.16535473589,6357.785,26.11,,149.1394259187498,149.1394259187498,26.11
,20/11/2023,1700438400,6329.58963,36750.50262600276,43080.09225600276,6329.58963,,36750.50262600276,36750.50262600276,6329.58963,25.571,,148.5769259187498,148.5769259187498,25.571
,21/11/2023,1700524800,6591.74581,39230.57184176126,45822.31765176126,6591.74581,,39230.57184176126,39230.57184176126,6591.74581,24.947,,148.4713009187498,148.4713009187498,24.947
,22/11/2023,1700611200,5691.8274599999995,33888.91981006439,39580.74727006439,5691.8274599999995,,33888.91981006439,33888.91981006439,5691.8274599999995,24.746,,147.5163009187498,147.5163009187498,24.746
,23/11/2023,1700697600,5374.49934,34786.11202571083,40160.61136571083,5374.49934,,34786.11202571083,34786.11202571083,5374.49934,22.729,,147.1369259187498,147.1369259187498,22.729
,24/11/2023,1700784000,6932.82343,34394.00158410689,41326.825014106886,6932.82343,,34394.00158410689,34394.00158410689,6932.82343,29.611,,146.9013009187498,146.9013009187498,29.611
,25/11/2023,1700870400,7686.7733800000005,34336.21408285883,42022.98746285883,7686.7733800000005,,34336.21408285883,34336.21408285883,7686.7733800000005,32.813,,146.8238009187498,146.8238009187498,32.813
,26/11/2023,1700956800,7509.32872,34000.700473883015,41510.02919388301,7509.32872,,34000.700473883015,34000.700473883015,7509.32872,32.204,,145.8819259187498,145.8819259187498,32.204
,27/11/2023,1701043200,7361.23346,33754.82568741108,41116.059147411084,7361.23346,,33754.82568741108,33754.82568741108,7361.23346,31.787,,145.6581759187498,145.6581759187498,31.787
,28/11/2023,1701129600,7072.710779999999,32485.747510962392,39558.45829096239,7072.710779999999,,32485.747510962392,32485.747510962392,7072.710779999999,31.134,,143.0019259187498,143.0019259187498,31.134
,29/11/2023,1701216000,7216.60336,32484.129469090018,39700.73282909002,7216.60336,,32484.129469090018,32484.129469090018,7216.60336,31.352,,141.2169259187498,141.2169259187498,31.352
,30/11/2023,1701302400,7023.6341999999995,32248.20688378589,39271.84108378589,7023.6341999999995,,32248.20688378589,32248.20688378589,7023.6341999999995,30.846,,141.9063009187498,141.9063009187498,30.846
,01/12/2023,1701388800,7002.27243,32457.99720696914,39460.26963696914,7002.27243,,32457.99720696914,32457.99720696914,7002.27243,30.603,,141.8556759187498,141.8556759187498,30.603
,02/12/2023,1701475200,7011.2257199999995,32403.271917522325,39414.49763752233,7011.2257199999995,,32403.271917522325,32403.271917522325,7011.2257199999995,30.598,,141.4125509187498,141.4125509187498,30.598
,03/12/2023,1701561600,6997.076499999999,31916.735951038765,38913.812451038764,6997.076499999999,,31916.735951038765,31916.735951038765,6997.076499999999,30.595,,139.1131759187498,139.1131759187498,30.595
,04/12/2023,1701648000,6885.33885,31121.953117112764,38007.29196711276,6885.33885,,31121.953117112764,31121.953117112764,6885.33885,30.179,,136.4100509187498,136.4100509187498,30.179
,05/12/2023,1701734400,7131.0695399999995,31813.802101289206,38944.8716412892,7131.0695399999995,,31813.802101289206,31813.802101289206,7131.0695399999995,30.519,,136.3994259187498,136.3994259187498,30.519
,06/12/2023,1701820800,7171.00508,31468.871323712825,38639.87640371283,7171.00508,,31468.871323712825,31468.871323712825,7171.00508,31.046,,136.2406759187498,136.2406759187498,31.046
,07/12/2023,1701907200,7302.7428,31375.120648433327,38677.86344843333,7302.7428,,31375.120648433327,31375.120648433327,7302.7428,31.641,,135.6938009187498,135.6938009187498,31.641
,08/12/2023,1701993600,7388.02688,31709.952527257763,39097.979407257764,7388.02688,,31709.952527257763,31709.952527257763,7388.02688,31.616,,135.6575509187498,135.6575509187498,31.616
,09/12/2023,1702080000,7722.77188,32727.836883639207,40450.608763639204,7722.77188,,32727.836883639207,32727.836883639207,7722.77188,31.981,,135.6650509187498,135.6650509187498,31.981
,10/12/2023,1702166400,7801.07985,32392.038159397456,40193.118009397454,7801.07985,,32392.038159397456,32392.038159397456,7801.07985,32.661,,135.6450509187498,135.6450509187498,32.661
,11/12/2023,1702252800,7966.737,32632.925660216577,40599.66266021658,7966.737,,32632.925660216577,32632.925660216577,7966.737,33.057,,135.5300509187498,135.5300509187498,33.057
,12/12/2023,1702339200,8284.3372,33610.92702821938,41895.264228219385,8284.3372,,33610.92702821938,33610.92702821938,8284.3372,33.14,,135.4569259187498,135.4569259187498,33.14
,13/12/2023,1702425600,8423.90784,33943.51208389101,42367.41992389101,8423.90784,,33943.51208389101,33943.51208389101,8423.90784,33.492,,135.0663009187498,135.0663009187498,33.492
,14/12/2023,1702512000,8545.41285,34142.37552124157,42687.78837124157,8545.41285,,34142.37552124157,34142.37552124157,8545.41285,33.735,,135.0675509187498,135.0675509187498,33.735
,15/12/2023,1702598400,8526.633600000001,34016.605292637134,42543.238892637135,8526.633600000001,,34016.605292637134,34016.605292637134,8526.633600000001,33.856,,135.0669259187498,135.0669259187498,33.856
,16/12/2023,1702684800,7827.2383199999995,33092.07969537126,40919.31801537126,7827.2383199999995,,33092.07969537126,33092.07969537126,7827.2383199999995,31.944,,135.0531759187498,135.0531759187498,31.944
,17/12/2023,1702771200,7558.973830000001,32889.838690798264,40448.81252079827,7558.973830000001,,32889.838690798264,32889.838690798264,7558.973830000001,31.001,,135.0213009187498,135.0213009187498,31.001
,18/12/2023,1702857600,9657.8328,32134.588345749016,41792.42114574902,9657.8328,,32134.588345749016,32134.588345749016,9657.8328,40.656,,135.2750509187498,135.2750509187498,40.656
,19/12/2023,1702944000,10002.53325,33132.5874750937,43135.1207250937,10002.53325,,33132.5874750937,33132.5874750937,10002.53325,40.835,,135.2350509187498,135.2350509187498,40.835
,20/12/2023,1703030400,10344.48876,34127.917449855704,44472.406209855704,10344.48876,,34127.917449855704,34127.917449855704,10344.48876,40.991,,135.2350509187498,135.2350509187498,40.991
,21/12/2023,1703116800,10472.17248,34694.00165019607,45166.17413019607,10472.17248,,34694.00165019607,34694.00165019607,10472.17248,40.824,,135.2381759187498,135.2381759187498,40.824
,22/12/2023,1703203200,10653.68584,36692.32143925682,47346.00727925682,10653.68584,,36692.32143925682,36692.32143925682,10653.68584,39.256,,135.2463009187498,135.2463009187498,39.256
,23/12/2023,1703289600,10389.94814,36406.71519743288,46796.66333743288,10389.94814,,36406.71519743288,36406.71519743288,10389.94814,38.854,,136.1456759187498,136.1456759187498,38.854
,24/12/2023,1703376000,10541.94765,36663.16671323844,47205.11436323844,10541.94765,,36663.16671323844,36663.16671323844,10541.94765,38.893,,135.1488009187498,135.1488009187498,38.893
,25/12/2023,1703462400,10302.58075,35803.369365922765,46105.950115922766,10302.58075,,35803.369365922765,35803.369365922765,10302.58075,38.885,,135.1325509187498,135.1325509187498,38.885
,26/12/2023,1703548800,10406.1724,36041.571419058135,46447.74381905813,10406.1724,,36041.571419058135,36041.571419058135,10406.1724,38.858,,135.1238009187498,135.1238009187498,38.858
,27/12/2023,1703635200,11610.489599999999,40220.88316360369,51831.37276360369,11610.489599999999,,40220.88316360369,40220.88316360369,11610.489599999999,39.14,,135.0600509187498,135.0600509187498,39.14
,28/12/2023,1703721600,11720.393399999999,43903.26146285093,55623.65486285093,11720.393399999999,,43903.26146285093,43903.26146285093,11720.393399999999,35.94,,134.9706759187498,134.9706759187498,35.94
,29/12/2023,1703808000,11428.78128,42925.0911059105,54353.872385910494,11428.78128,,42925.0911059105,42925.0911059105,11428.78128,35.952,,134.8700509187498,134.8700509187498,35.952
,30/12/2023,1703894400,11281.888799999999,42274.76309108319,53556.65189108319,11281.888799999999,,42274.76309108319,42274.76309108319,11281.888799999999,35.98,,134.8219259187498,134.8219259187498,35.98
,31/12/2023,1703980800,11538.59064,42835.917326098126,54374.50796609813,11538.59064,,42835.917326098126,42835.917326098126,11538.59064,36.326,,134.7338009187498,134.7338009187498,36.326
,01/01/2024,1704067200,11370.09894,42376.58520399275,53746.68414399275,11370.09894,,42376.58520399275,42376.58520399275,11370.09894,36.138,,134.7213009187498,134.7213009187498,36.138
,02/01/2024,1704153600,11541.53203,42908.04644808313,54449.57847808313,11541.53203,,42908.04644808313,42908.04644808313,11541.53203,36.211,,134.6219259187498,134.6219259187498,36.211
,03/01/2024,1704240000,11288.1065,42116.45907201356,53404.56557201356,11288.1065,,42116.45907201356,42116.45907201356,11288.1065,36.07,,134.5831759187498,134.5831759187498,36.07
,04/01/2024,1704326400,11369.313900000001,42486.95741829012,53856.27131829012,11369.313900000001,,42486.95741829012,42486.95741829012,11369.313900000001,36.045,,134.5844259187498,134.5844259187498,36.045
,05/01/2024,1704412800,11733.361200000001,43838.27466905112,55571.63586905112,11733.361200000001,,43838.27466905112,43838.27466905112,11733.361200000001,36.014,,134.5681759187498,134.5681759187498,36.014
,06/01/2024,1704499200,10957.03675,41633.57012162337,52590.60687162337,10957.03675,,41633.57012162337,41633.57012162337,10957.03675,35.431,,134.6275509187498,134.6275509187498,35.431
,07/01/2024,1704585600,10921.277699999999,41357.77788024912,52279.05558024912,10921.277699999999,,41357.77788024912,41357.77788024912,10921.277699999999,35.415,,134.6238009187498,134.6238009187498,35.415
,08/01/2024,1704672000,10401.325759999998,40255.1718078532,50656.4975678532,10401.325759999998,,40255.1718078532,40255.1718078532,10401.325759999998,34.864,,134.5606759187498,134.5606759187498,34.864
,09/01/2024,1704758400,10611.604749999999,40945.60708040825,51557.21183040825,10611.604749999999,,40945.60708040825,40945.60708040825,10611.604749999999,34.855,,134.5169259187498,134.5169259187498,34.855
,10/01/2024,1704844800,10489.32878,40618.18880718488,51107.51758718488,10489.32878,,40618.18880718488,40618.18880718488,10489.32878,34.703,,134.5106759187498,134.5106759187498,34.703
,11/01/2024,1704931200,10552.919039999999,40861.01157095369,51413.93061095369,10552.919039999999,,40861.01157095369,40861.01157095369,10552.919039999999,34.568,,133.6200509187498,133.6200509187498,34.568
,12/01/2024,1705017600,10548.965,41061.25776668094,51610.222766680934,10548.965,,41061.25776668094,41061.25776668094,10548.965,34.3,,133.4544259187498,133.4544259187498,34.3
,13/01/2024,1705104000,10109.876740000002,39302.73593372075,49412.61267372075,10109.876740000002,,39302.73593372075,39302.73593372075,10109.876740000002,34.301,,133.5056759187498,133.5056759187498,34.301
,14/01/2024,1705190400,10301.020859999999,40175.01383802532,50476.034698025316,10301.020859999999,,40175.01383802532,40175.01383802532,10301.020859999999,34.242,,133.4806759187498,133.4806759187498,34.242
,15/01/2024,1705276800,10384.07238,40634.00825272256,51018.08063272256,10384.07238,,40634.00825272256,40634.00825272256,10384.07238,34.166,,133.4625509187498,133.4625509187498,34.166
,16/01/2024,1705363200,10842.64295,42210.92651772143,53053.569467721434,10842.64295,,42210.92651772143,42210.92651772143,10842.64295,34.205,,132.9394259187498,132.9394259187498,34.205
,17/01/2024,1705449600,10786.576680000002,41940.715963847186,52727.29264384719,10786.576680000002,,41940.715963847186,41940.715963847186,10786.576680000002,34.191,,132.9425509187498,132.9425509187498,34.191
,18/01/2024,1705536000,10129.200270000001,40736.8198030325,50866.0200730325,10129.200270000001,,40736.8198030325,40736.8198030325,10129.200270000001,32.963,,132.9400509187498,132.9400509187498,32.963
,19/01/2024,1705622400,10200.97058,41198.12177972055,51399.092359720555,10200.97058,,41198.12177972055,41198.12177972055,10200.97058,32.951,,132.9400509187498,132.9400509187498,32.951
,20/01/2024,1705708800,10330.1982,41783.91511357737,52114.11331357737,10330.1982,,41783.91511357737,41783.91511357737,10330.1982,32.86,,132.9131759187498,132.9131759187498,32.86
,21/01/2024,1705795200,10401.5044,42047.607017821065,52449.11141782106,10401.5044,,42047.607017821065,42047.607017821065,10401.5044,32.86,,132.8350509187498,132.8350509187498,32.86
,22/01/2024,1705881600,10448.435480000002,42197.25202586844,52645.68750586844,10448.435480000002,,42197.25202586844,42197.25202586844,10448.435480000002,32.834,,132.8294259187498,132.8294259187498,32.834
,23/01/2024,1705968000,9879.867999999999,40688.595101504936,50568.46310150494,9879.867999999999,,40688.595101504936,40688.595101504936,9879.867999999999,32.245,,132.7956759187498,132.7956759187498,32.245
,24/01/2024,1706054400,9694.05498,39682.35672753163,49376.41170753163,9694.05498,,39682.35672753163,39682.35672753163,9694.05498,32.414,,132.8013009187498,132.8013009187498,32.414
,25/01/2024,1706140800,9517.245829999998,38944.34805692338,48461.59388692338,9517.245829999998,,38944.34805692338,38944.34805692338,9517.245829999998,32.419,,132.8025509187498,132.8025509187498,32.419
,26/01/2024,1706227200,9447.51654,38656.421070411314,48103.93761041132,9447.51654,,38656.421070411314,38656.421070411314,9447.51654,32.459,,132.8125509187498,132.8125509187498,32.459
,27/01/2024,1706313600,9871.24936,40399.49207596532,50270.74143596532,9871.24936,,40399.49207596532,40399.49207596532,9871.24936,32.452,,132.8144259187498,132.8144259187498,32.452
,28/01/2024,1706400000,9899.50346,40554.24737711375,50453.75083711375,9899.50346,,40554.24737711375,40554.24737711375,9899.50346,32.417,,132.7775509187498,132.7775509187498,32.417
,29/01/2024,1706486400,9896.709359999999,40634.939356696435,50531.648716696436,9896.709359999999,,40634.939356696435,40634.939356696435,9896.709359999999,32.393,,133.0025509187498,133.0025509187498,32.393
,30/01/2024,1706572800,10041.64447,41345.96310665769,51387.60757665769,10041.64447,,41345.96310665769,41345.96310665769,10041.64447,32.383,,132.9794259187498,132.9794259187498,32.383
,31/01/2024,1706659200,9944.07078,38901.05643001944,48845.12721001944,9944.07078,,38901.05643001944,38901.05643001944,9944.07078,32.389,,126.7300509187498,126.7300509187498,32.389
,01/02/2024,1706745600,9618.4983,37702.34178633725,47320.84008633725,,9618.4983,37702.34178633725,47320.84008633725,,,32.33,126.7263009187498,159.0563009187498,
,02/02/2024,1706832000,9724.12805,38098.85102705288,47822.97907705288,,9724.12805,38098.85102705288,47822.97907705288,,,32.305,126.5700509187498,158.8750509187498,
,03/02/2024,1706918400,9770.9497,38281.11190037587,48052.06160037587,,9770.9497,38281.11190037587,48052.06160037587,,,32.306,126.5700509187498,158.8760509187498,
,04/02/2024,1707004800,9655.91616,37827.76241859594,47483.678578595944,,9655.91616,37827.76241859594,47483.678578595944,,,32.307,126.5650509187498,158.8720509187498,
,05/02/2024,1707091200,9782.96355,38323.22226449338,48106.18581449338,,9782.96355,38323.22226449338,48106.18581449338,,,32.303,126.5419259187498,158.8449259187498,
,06/02/2024,1707177600,9731.064690000001,38133.54786093875,47864.61255093875,,9731.064690000001,38133.54786093875,47864.61255093875,,,32.283,126.5088009187498,158.7918009187498,
,07/02/2024,1707264000,9740.749590000001,38170.18043246438,47910.93002246438,,9740.749590000001,38170.18043246438,47910.93002246438,,,32.283,126.5044259187498,158.78742591874982,
,08/02/2024,1707350400,9978.68902,39081.50499333857,49060.194013338565,9978.68902,,39081.50499333857,39081.50499333857,9978.68902,32.282,,126.5019259187498,126.5019259187498,32.282
,09/02/2024,1707436800,10098.373150000001,40258.64120489213,50357.014354892126,10098.373150000001,,40258.64120489213,40258.64120489213,10098.373150000001,31.715,,126.5000509187498,126.5000509187498,31.715
,10/02/2024,1707523200,10253.73304,40906.21658957775,51159.94962957775,10253.73304,,40906.21658957775,40906.21658957775,10253.73304,31.708,,126.5075509187498,126.5075509187498,31.708
,11/02/2024,1707609600,10246.69548,40889.77997249506,51136.47545249506,,10246.69548,40889.77997249506,51136.47545249506,,,31.698,126.4919259187498,158.1899259187498,
,12/02/2024,1707696000,10179.59462,40692.14107060775,50871.73569060775,10179.59462,,40692.14107060775,40692.14107060775,10179.59462,31.651,,126.4713009187498,126.4713009187498,31.651
