,Date,Timestamp,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx,KiloEx
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,bsc,manta,taiko,op_bnb,Total,bsc,bsc,manta,manta,manta,taiko,taiko,op_bnb,op_bnb,Total,Total,Total,Total,Total,Total,Total,bsc,bsc,manta,manta,manta,taiko,taiko,op_bnb,op_bnb,Total,Total,Total,Total,Total,Total,Total
,,,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,USDT,FDUSD,USDT,STONE,MANTA,usd-coin,USDC,USDT,WBNB,USDT,STONE,usd-coin,USDC,MANTA,FDUSD,WBNB,USDT,FDUSD,USDT,STONE,MANTA,usd-coin,USDC,USDT,WBNB,USDT,STONE,usd-coin,USDC,MANTA,FDUSD,WBNB
,02/08/2023,1690934400,115613.8294855337,,,,115613.8294855337,115613.8294855337,,,,,,,,,115613.8294855337,,,,,,,115661.01918135969,,,,,,,,,115661.01918135969,,,,,,
,03/08/2023,1691020800,115732.14211290696,,,,115732.14211290696,115732.14211290696,,,,,,,,,115732.14211290696,,,,,,,115804.40406104104,,,,,,,,,115804.40406104104,,,,,,
,04/08/2023,1691107200,112267.01116091065,,,,112267.01116091065,112267.01116091065,,,,,,,,,112267.01116091065,,,,,,,112338.12119162494,,,,,,,,,112338.12119162494,,,,,,
,05/08/2023,1691193600,112862.34238663985,,,,112862.34238663985,112862.34238663985,,,,,,,,,112862.34238663985,,,,,,,113060.76402750812,,,,,,,,,113060.76402750812,,,,,,
,06/08/2023,1691280000,120067.36438002314,,,,120067.36438002314,120067.36438002314,,,,,,,,,120067.36438002314,,,,,,,120171.07201517222,,,,,,,,,120171.07201517222,,,,,,
,07/08/2023,1691366400,127327.82379963792,,,,127327.82379963792,127327.82379963792,,,,,,,,,127327.82379963792,,,,,,,127543.75537749201,,,,,,,,,127543.75537749201,,,,,,
,08/08/2023,1691452800,128007.04705191533,,,,128007.04705191533,128007.04705191533,,,,,,,,,128007.04705191533,,,,,,,128173.0311272251,,,,,,,,,128173.0311272251,,,,,,
,09/08/2023,1691539200,151655.6302523411,,,,151655.6302523411,151655.6302523411,,,,,,,,,151655.6302523411,,,,,,,151722.23631408298,,,,,,,,,151722.23631408298,,,,,,
,10/08/2023,1691625600,309028.0229532955,,,,309028.0229532955,309028.0229532955,,,,,,,,,309028.0229532955,,,,,,,308719.3036496459,,,,,,,,,308719.3036496459,,,,,,
,11/08/2023,1691712000,311300.80077026447,,,,311300.80077026447,311300.80077026447,,,,,,,,,311300.80077026447,,,,,,,311563.4487575671,,,,,,,,,311563.4487575671,,,,,,
,12/08/2023,1691798400,335672.7537399762,,,,335672.7537399762,335672.7537399762,,,,,,,,,335672.7537399762,,,,,,,335939.15348869277,,,,,,,,,335939.15348869277,,,,,,
,13/08/2023,1691884800,349310.24595049594,,,,349310.24595049594,349310.24595049594,,,,,,,,,349310.24595049594,,,,,,,349683.00803706347,,,,,,,,,349683.00803706347,,,,,,
,14/08/2023,1691971200,328384.68067465053,,,,328384.68067465053,328384.68067465053,,,,,,,,,328384.68067465053,,,,,,,328585.44638239016,,,,,,,,,328585.44638239016,,,,,,
,15/08/2023,1692057600,337372.3725892995,,,,337372.3725892995,337372.3725892995,,,,,,,,,337372.3725892995,,,,,,,337540.80545121967,,,,,,,,,337540.80545121967,,,,,,
,16/08/2023,1692144000,332253.29806149215,,,,332253.29806149215,332253.29806149215,,,,,,,,,332253.29806149215,,,,,,,332797.4218462107,,,,,,,,,332797.4218462107,,,,,,
,17/08/2023,1692230400,331409.25635804574,,,,331409.25635804574,331409.25635804574,,,,,,,,,331409.25635804574,,,,,,,332794.6806134395,,,,,,,,,332794.6806134395,,,,,,
,18/08/2023,1692316800,352814.2176820572,,,,352814.2176820572,352814.2176820572,,,,,,,,,352814.2176820572,,,,,,,353366.5295677716,,,,,,,,,353366.5295677716,,,,,,
,19/08/2023,1692403200,395923.9207672231,,,,395923.9207672231,395923.9207672231,,,,,,,,,395923.9207672231,,,,,,,395923.9207672231,,,,,,,,,395923.9207672231,,,,,,
,20/08/2023,1692489600,396518.81354292744,,,,396518.81354292744,396518.81354292744,,,,,,,,,396518.81354292744,,,,,,,396543.0026660901,,,,,,,,,396543.0026660901,,,,,,
,21/08/2023,1692576000,392602.50983626157,,,,392602.50983626157,392602.50983626157,,,,,,,,,392602.50983626157,,,,,,,392652.376688101,,,,,,,,,392652.376688101,,,,,,
,22/08/2023,1692662400,401457.8789444856,,,,401457.8789444856,401457.8789444856,,,,,,,,,401457.8789444856,,,,,,,401473.5364124057,,,,,,,,,401473.5364124057,,,,,,
,23/08/2023,1692748800,369319.91388146847,,,,369319.91388146847,369319.91388146847,,,,,,,,,369319.91388146847,,,,,,,369494.315198242,,,,,,,,,369494.315198242,,,,,,
,24/08/2023,1692835200,374964.2965709332,,,,374964.2965709332,374964.2965709332,,,,,,,,,374964.2965709332,,,,,,,374997.2963330105,,,,,,,,,374997.2963330105,,,,,,
,25/08/2023,1692921600,410159.4022948271,,,,410159.4022948271,410159.4022948271,,,,,,,,,410159.4022948271,,,,,,,410236.93707593443,,,,,,,,,410236.93707593443,,,,,,
,26/08/2023,1693008000,411656.9954654538,,,,411656.9954654538,411656.9954654538,,,,,,,,,411656.9954654538,,,,,,,411859.6304036124,,,,,,,,,411859.6304036124,,,,,,
,27/08/2023,1693094400,410663.6875173162,,,,410663.6875173162,410663.6875173162,,,,,,,,,410663.6875173162,,,,,,,410915.5787671004,,,,,,,,,410915.5787671004,,,,,,
,28/08/2023,1693180800,403796.54302518355,,,,403796.54302518355,403796.54302518355,,,,,,,,,403796.54302518355,,,,,,,404042.2006831989,,,,,,,,,404042.2006831989,,,,,,
,29/08/2023,1693267200,402880.32211938803,,,,402880.32211938803,402880.32211938803,,,,,,,,,402880.32211938803,,,,,,,403101.2215888187,,,,,,,,,403101.2215888187,,,,,,
,30/08/2023,1693353600,400098.975584031,,,,400098.975584031,400098.975584031,,,,,,,,,400098.975584031,,,,,,,400152.9962385232,,,,,,,,,400152.9962385232,,,,,,
,31/08/2023,1693440000,400381.24839339557,,,,400381.24839339557,400381.24839339557,,,,,,,,,400381.24839339557,,,,,,,400381.24839339557,,,,,,,,,400381.24839339557,,,,,,
,01/09/2023,1693526400,420433.5360028979,,,,420433.5360028979,420433.5360028979,,,,,,,,,420433.5360028979,,,,,,,420873.7699662826,,,,,,,,,420873.7699662826,,,,,,
,02/09/2023,1693612800,422976.00580911996,,,,422976.00580911996,422976.00580911996,,,,,,,,,422976.00580911996,,,,,,,423127.0621703148,,,,,,,,,423127.0621703148,,,,,,
,03/09/2023,1693699200,425390.0480289335,,,,425390.0480289335,425390.0480289335,,,,,,,,,425390.0480289335,,,,,,,425390.0480289335,,,,,,,,,425390.0480289335,,,,,,
,04/09/2023,1693785600,423728.9791851441,,,,423728.9791851441,423728.9791851441,,,,,,,,,423728.9791851441,,,,,,,423817.55705456855,,,,,,,,,423817.55705456855,,,,,,
,05/09/2023,1693872000,449030.0586087622,,,,449030.0586087622,449030.0586087622,,,,,,,,,449030.0586087622,,,,,,,449434.9995433508,,,,,,,,,449434.9995433508,,,,,,
,06/09/2023,1693958400,444726.83361784037,,,,444726.83361784037,444726.83361784037,,,,,,,,,444726.83361784037,,,,,,,445086.4634803325,,,,,,,,,445086.4634803325,,,,,,
,07/09/2023,1694044800,444684.0047678914,,,,444684.0047678914,444684.0047678914,,,,,,,,,444684.0047678914,,,,,,,444865.0648492851,,,,,,,,,444865.0648492851,,,,,,
,08/09/2023,1694131200,442973.92412784335,,,,442973.92412784335,442973.92412784335,,,,,,,,,442973.92412784335,,,,,,,443309.06578157423,,,,,,,,,443309.06578157423,,,,,,
,09/09/2023,1694217600,441568.4600223631,,,,441568.4600223631,441568.4600223631,,,,,,,,,441568.4600223631,,,,,,,441796.4269786841,,,,,,,,,441796.4269786841,,,,,,
,10/09/2023,1694304000,442427.81742627884,,,,442427.81742627884,442427.81742627884,,,,,,,,,442427.81742627884,,,,,,,442547.3051986825,,,,,,,,,442547.3051986825,,,,,,
,11/09/2023,1694390400,443277.30103839847,,,,443277.30103839847,443277.30103839847,,,,,,,,,443277.30103839847,,,,,,,442834.46657182666,,,,,,,,,442834.46657182666,,,,,,
,12/09/2023,1694476800,442053.3313963022,,,,442053.3313963022,442053.3313963022,,,,,,,,,442053.3313963022,,,,,,,442281.5486754187,,,,,,,,,442281.5486754187,,,,,,
,13/09/2023,1694563200,447914.0503042418,,,,447914.0503042418,447914.0503042418,,,,,,,,,447914.0503042418,,,,,,,447914.0503042418,,,,,,,,,447914.0503042418,,,,,,
,14/09/2023,1694649600,448624.63479718694,,,,448624.63479718694,448624.63479718694,,,,,,,,,448624.63479718694,,,,,,,448624.63479718694,,,,,,,,,448624.63479718694,,,,,,
,15/09/2023,1694736000,65758.97874771983,,,,65758.97874771983,65758.97874771983,,,,,,,,,65758.97874771983,,,,,,,65693.28546225757,,,,,,,,,65693.28546225757,,,,,,
,16/09/2023,1694822400,64088.38505002075,,,,64088.38505002075,64088.38505002075,,,,,,,,,64088.38505002075,,,,,,,64106.20657544872,,,,,,,,,64106.20657544872,,,,,,
,17/09/2023,1694908800,65407.064818168226,,,,65407.064818168226,65407.064818168226,,,,,,,,,65407.064818168226,,,,,,,65420.86862144735,,,,,,,,,65420.86862144735,,,,,,
,18/09/2023,1694995200,61356.595743952195,,,,61356.595743952195,61356.595743952195,,,,,,,,,61356.595743952195,,,,,,,61417.03010157214,,,,,,,,,61417.03010157214,,,,,,
,19/09/2023,1695081600,60960.9183074927,,,,60960.9183074927,60960.9183074927,,,,,,,,,60960.9183074927,,,,,,,60900.0182892035,,,,,,,,,60900.0182892035,,,,,,
,20/09/2023,1695168000,60997.56832410552,,,,60997.56832410552,60997.56832410552,,,,,,,,,60997.56832410552,,,,,,,60997.56832410552,,,,,,,,,60997.56832410552,,,,,,
,21/09/2023,1695254400,71087.25655762207,,,,71087.25655762207,71087.25655762207,,,,,,,,,71087.25655762207,,,,,,,71087.25655762207,,,,,,,,,71087.25655762207,,,,,,
,22/09/2023,1695340800,73096.9022643116,,,,73096.9022643116,73096.9022643116,,,,,,,,,73096.9022643116,,,,,,,73023.87838592568,,,,,,,,,73023.87838592568,,,,,,
,23/09/2023,1695427200,71528.11823914186,,,,71528.11823914186,71528.11823914186,,,,,,,,,71528.11823914186,,,,,,,71528.83352747712,,,,,,,,,71528.83352747712,,,,,,
,24/09/2023,1695513600,68933.68479520039,,,,68933.68479520039,68933.68479520039,,,,,,,,,68933.68479520039,,,,,,,68933.68479520039,,,,,,,,,68933.68479520039,,,,,,
,25/09/2023,1695600000,70618.24017233608,,,,70618.24017233608,70618.24017233608,,,,,,,,,70618.24017233608,,,,,,,70618.24017233608,,,,,,,,,70618.24017233608,,,,,,
,26/09/2023,1695686400,65979.35635566406,,,,65979.35635566406,65979.35635566406,,,,,,,,,65979.35635566406,,,,,,,65992.42285538942,,,,,,,,,65992.42285538942,,,,,,
,27/09/2023,1695772800,65052.39696669365,,,,65052.39696669365,65052.39696669365,,,,,,,,,65052.39696669365,,,,,,,65063.52282909743,,,,,,,,,65063.52282909743,,,,,,
,28/09/2023,1695859200,64808.910645987875,,,,64808.910645987875,64808.910645987875,,,,,,,,,64808.910645987875,,,,,,,64919.403470695,,,,,,,,,64919.403470695,,,,,,
